시군별,측정지역,오존,이산화질소,산소포화량,일산화탄소,미세먼지,초미세먼지
전주,중앙동,0.037,0.017,0.004,0.4,48,22
전주,삼천동,0.039,0.015,0.004,0.5,41,23
전주,팔복동,0.034,0.012,0.007,0.4,45,26
전주,송천동,0.038,0.025,0.008,0.4,53,25
전주,금암동,,-0.032,0.003,0.3,48,27
군산,신풍동,0.038,0.012,0.003,0.4,45,26
군산,소룡동,0.047,0.015,0.006,0.4,48,28
군산,개정동,0.034,0.011,0.006,0.5,42,22
익산,팔봉동,0.039,0.02,0.002,0.4,49,28
익산,모현동,0.028,0.011,0.003,0.3,50,23
익산,남중동,0.034,0.022,0.004,0.3,51,29
정읍 ,연지동,0.042,0.015,0.002,0.4,46,17
정읍 ,신태인,0.036,0.011,0.002,0.4,36,20
